Hours_Studied,Attendance,bool_Extracurricular_Activities,Sleep_Hours,Previous_Scores,bool_Internet_Access,Tutoring_Sessions,School_Type_Private,School_Type_Public,Physical_Activity,numeric_Parental_Education_Level,numeric_Distance_from_Home,Exam_Score,numeric_Parental_Involvement,numeric_Access_to_Resources,numeric_Motivation_Level,numeric_Family_Income,numeric_Teacher_Quality,numeric_Peer_Influence,numeric_Learning_Disabilities
21,65,True,6,98,True,1,False,True,4,0,0,64,0,1,0,1,2,-1,False
24,68,False,8,56,True,3,False,True,1,1,0,67,2,1,0,2,2,0,False
21,84,True,6,52,True,1,False,True,2,1,2,65,1,1,0,1,2,0,True
19,63,False,7,94,True,1,True,False,3,0,1,64,0,2,1,1,1,1,False
18,94,True,7,82,True,3,True,False,2,1,0,70,1,2,1,1,1,-1,True
11,98,True,9,82,True,1,True,False,3,2,2,68,1,1,0,1,1,1,False
16,70,True,8,98,True,2,False,True,3,0,1,65,1,1,1,1,1,1,False
17,78,True,6,88,True,1,True,False,3,1,0,68,1,1,1,1,2,1,False
26,61,True,6,70,True,2,False,True,3,0,1,64,1,0,1,0,1,1,False
22,86,True,7,72,True,3,False,True,2,0,1,68,0,1,0,0,2,1,False
9,77,False,5,57,True,2,False,True,3,0,0,63,1,1,1,1,2,0,False
22,71,True,7,65,True,1,False,True,4,1,1,64,0,1,0,1,0,1,False
18,68,False,7,72,True,0,False,True,3,1,0,64,2,1,1,1,1,0,False
16,86,True,8,63,True,2,False,True,4,0,0,67,0,1,1,1,1,1,False
24,77,False,8,96,True,0,False,True,3,0,0,67,2,0,1,1,1,0,False
26,67,True,7,51,True,2,True,False,4,2,2,66,1,2,0,2,2,0,True
26,88,True,5,79,True,1,True,False,4,1,1,72,1,2,1,0,2,1,False
15,83,False,5,89,False,1,False,True,2,0,0,65,1,2,0,1,2,0,True
18,94,True,6,87,True,1,False,True,4,0,0,71,1,1,2,1,1,1,False
22,65,False,8,82,True,2,False,True,1,2,0,66,2,0,1,1,2,1,False
26,91,True,8,71,True,0,True,False,3,0,1,68,1,0,1,0,1,0,False
17,87,False,7,96,True,1,False,True,5,2,0,70,1,1,1,2,1,-1,False
19,65,True,10,66,True,0,False,True,3,0,1,62,1,1,0,0,1,1,False
13,88,True,9,88,True,2,True,False,4,2,2,68,0,2,2,0,2,-1,False
13,78,True,9,96,True,2,False,True,3,1,1,67,1,2,2,0,1,0,False
25,98,True,8,56,False,0,True,False,3,2,0,71,0,2,1,1,2,0,False
28,66,True,8,97,True,0,False,True,2,0,0,68,1,2,1,1,1,0,False
20,86,True,8,89,True,1,False,True,3,2,0,69,1,1,1,0,1,-1,False
26,75,True,4,81,True,3,True,False,2,0,1,70,0,2,2,1,2,1,False
22,98,False,5,69,False,1,False,True,4,0,1,69,1,2,0,0,2,-1,False
16,73,False,7,95,True,1,False,True,4,1,0,65,1,1,1,0,1,-1,False
22,98,True,7,52,False,3,False,True,3,1,0,70,1,0,1,1,1,1,False
29,96,True,7,72,True,1,False,True,3,0,1,71,1,0,1,0,1,1,False
20,71,True,7,88,True,1,False,True,4,1,0,65,1,1,1,0,0,0,False
29,92,False,4,91,True,2,False,True,1,2,0,72,0,1,1,1,1,-1,False
4,100,True,8,60,True,0,True,False,4,1,1,69,2,2,2,1,2,1,False
25,70,False,7,52,True,1,False,True,3,2,0,66,1,1,1,1,1,1,False
21,77,True,7,90,True,4,True,False,3,2,1,68,0,1,1,1,1,0,False
18,81,True,8,71,True,0,False,True,3,0,1,65,2,0,1,1,1,0,False
21,72,True,5,57,True,1,False,True,5,1,1,64,1,1,1,2,1,0,True
8,61,True,7,54,True,1,False,True,3,1,0,60,1,1,1,2,1,1,False
19,69,True,7,82,True,1,False,True,2,0,0,65,1,2,2,0,1,-1,False
22,71,False,6,79,True,1,False,True,3,0,0,66,2,1,2,0,0,1,False
29,78,True,4,93,True,5,False,True,3,1,0,74,2,2,0,1,2,0,False
17,67,True,5,52,True,2,True,False,3,0,2,62,1,1,2,1,1,-1,False
15,95,False,7,93,True,2,False,True,4,1,1,70,1,1,1,0,1,1,False
17,88,True,7,94,True,0,False,True,3,0,0,69,1,2,0,1,1,0,False
25,63,True,7,72,True,3,True,False,4,1,2,67,1,2,1,1,2,-1,False
22,86,False,6,54,True,2,False,True,0,0,1,64,0,0,1,1,1,0,False
17,86,False,5,97,True,3,False,True,3,1,0,71,1,2,2,2,1,0,False
23,98,True,7,54,True,0,False,True,3,1,0,68,1,0,0,1,1,-1,False
21,60,False,7,80,True,0,False,True,4,1,0,64,2,1,1,1,2,0,True
26,70,True,8,75,True,1,True,False,4,0,2,63,1,0,1,1,0,0,True
16,97,True,6,92,True,0,True,False,4,1,0,71,1,1,0,2,1,1,False
18,97,True,4,75,True,0,False,True,3,0,1,69,2,1,0,0,1,1,False
18,89,True,4,73,True,3,True,False,2,1,0,100,2,1,1,2,1,1,False
11,91,False,6,94,True,3,False,True,3,1,1,68,1,1,1,1,1,0,False
22,64,False,7,98,False,1,False,True,3,0,0,62,0,1,0,1,1,-1,False
22,81,True,7,77,True,2,False,True,3,2,2,68,1,1,0,1,1,1,False
20,69,True,6,73,True,2,True,False,3,0,2,66,2,2,1,0,1,1,False
19,67,False,5,92,True,0,False,True,3,1,0,64,0,1,2,1,1,1,False
12,92,False,4,92,True,2,False,True,3,0,1,67,1,1,2,1,2,0,True
17,65,True,8,66,True,1,False,True,4,2,1,65,1,2,1,2,2,0,True
18,79,True,7,79,True,0,True,False,3,1,2,65,1,1,1,0,2,0,False
15,98,False,6,58,True,0,False,True,3,1,0,69,2,1,2,0,2,1,False
19,67,False,5,82,True,1,True,False,3,0,0,63,1,1,2,0,0,-1,False
22,99,True,6,92,True,3,False,True,4,2,1,72,1,0,0,1,1,-1,False
31,100,False,7,59,True,2,False,True,5,2,1,76,1,1,1,2,2,1,False
21,82,True,7,66,True,3,False,True,3,1,0,69,1,2,2,0,1,1,True
22,67,True,7,72,True,3,False,True,2,2,1,67,1,1,2,0,2,1,False
20,73,True,9,92,True,2,False,True,3,1,0,69,2,1,1,1,2,1,False
8,77,True,6,87,True,0,False,True,2,0,1,63,2,1,1,0,1,0,False
20,72,False,9,66,True,3,True,False,3,2,0,67,1,1,1,0,2,1,False
20,71,True,7,62,True,2,False,True,5,1,0,66,0,2,2,1,1,-1,False
35,99,True,7,85,True,2,True,False,2,2,0,79,2,2,0,1,2,0,False
19,66,False,8,74,True,1,False,True,3,0,0,64,1,1,1,2,1,0,False
22,89,True,6,80,True,1,False,True,3,0,0,73,2,2,1,2,2,1,False
20,60,False,7,82,True,2,False,True,4,0,0,63,0,2,2,0,2,1,True
13,84,False,5,78,True,1,False,True,2,0,0,65,1,1,1,0,2,1,False
27,97,True,8,81,True,0,False,True,5,0,0,73,0,2,1,2,1,1,False
25,72,True,8,94,True,2,True,False,4,1,1,70,2,2,0,0,1,1,False
25,67,False,9,93,True,2,False,True,3,0,0,68,2,1,2,0,2,1,True
15,86,True,7,57,True,1,False,True,3,1,0,65,1,1,1,1,1,-1,False
28,89,True,9,79,True,0,True,False,1,1,1,71,0,2,2,0,1,1,False
12,88,False,6,72,True,2,False,True,2,1,2,64,0,1,0,1,1,1,False
24,73,True,8,64,True,4,True,False,3,1,1,68,1,2,1,2,1,0,True
33,70,True,6,82,True,1,False,True,4,1,0,69,1,1,0,0,2,0,False
14,98,False,7,76,True,0,True,False,4,1,1,69,1,1,1,1,2,1,False
21,78,True,10,55,True,1,True,False,2,1,0,67,1,1,1,2,0,1,False
17,94,True,8,65,True,4,False,True,6,0,2,68,0,1,0,1,1,0,False
11,78,True,8,51,True,2,False,True,3,2,0,64,1,2,1,0,1,0,False
20,77,False,6,87,True,0,False,True,4,0,0,66,1,1,0,0,2,1,False
14,66,False,7,96,True,3,False,True,3,0,0,63,2,0,1,0,2,-1,False
23,77,True,7,79,True,0,False,True,2,0,1,66,1,1,1,0,2,0,False
14,81,False,9,81,True,1,True,False,3,2,0,66,1,1,1,0,2,-1,False
29,61,True,7,52,True,3,True,False,3,1,0,67,1,2,0,0,1,1,False
15,78,False,9,75,True,1,False,True,1,0,0,65,2,2,0,0,1,-1,False
18,91,True,5,76,True,1,False,True,3,0,0,68,0,1,1,1,1,0,False
25,87,False,9,52,True,1,True,False,2,0,0,68,1,0,2,0,2,1,False
13,85,False,6,89,True,0,True,False,1,0,0,65,2,1,1,2,1,0,True
21,96,False,8,64,True,2,False,True,0,1,0,71,1,1,2,1,2,0,False
28,61,False,6,86,True,1,True,False,3,2,2,65,1,2,2,0,1,-1,True
10,82,False,8,70,True,3,False,True,1,2,0,64,1,0,1,0,2,1,True
21,91,False,6,100,True,0,True,False,2,2,0,72,2,1,1,2,1,0,False
22,82,False,9,61,True,2,False,True,2,0,0,65,1,1,1,0,1,-1,True
25,73,False,8,53,False,0,True,False,5,2,0,66,1,2,2,0,2,-1,False
13,65,False,6,99,True,0,True,False,4,0,0,61,0,2,1,0,1,-1,False
12,96,True,8,62,True,2,False,True,3,1,0,68,0,2,1,1,2,-1,False
23,79,True,8,82,True,3,False,True,3,2,1,69,2,2,0,1,1,-1,True
22,95,True,6,69,True,1,False,True,3,1,0,72,1,2,1,0,1,1,False
22,83,True,5,82,True,2,False,True,3,2,0,71,1,2,1,0,2,1,False
22,87,False,5,80,True,2,False,True,3,0,0,70,2,2,0,0,2,-1,False
16,92,True,5,85,True,1,False,True,2,0,1,68,1,2,0,0,1,0,False
21,86,True,5,51,True,2,False,True,2,0,1,67,0,1,1,0,2,1,False
22,76,True,8,92,True,1,False,True,4,0,0,68,1,1,1,0,2,0,False
16,81,True,8,74,True,3,False,True,2,2,0,68,1,1,1,1,1,1,False
31,92,True,4,76,True,2,False,True,4,0,2,72,1,1,1,1,2,1,True
23,75,False,6,71,True,0,False,True,2,1,0,65,0,2,0,1,1,0,False
13,76,False,5,99,True,2,True,False,4,0,0,66,1,2,0,1,1,1,False
24,64,True,8,90,True,0,False,True,3,0,0,65,1,1,2,0,2,-1,False
14,97,True,6,66,True,2,False,True,3,1,0,67,1,1,1,1,1,-1,True
25,64,False,5,89,True,2,False,True,4,1,2,66,1,2,0,1,1,0,False
27,86,False,7,72,True,1,False,True,4,0,2,69,1,1,0,1,2,1,False
15,77,True,8,94,True,0,False,True,3,1,1,66,1,1,0,2,2,1,False
26,76,True,6,52,True,4,False,True,3,0,0,69,1,2,1,2,0,0,False
22,87,True,7,68,False,0,False,True,2,0,0,67,2,0,1,0,1,0,False
25,63,True,6,71,True,1,True,False,3,0,0,66,2,1,1,1,0,1,False
31,84,True,9,87,True,2,True,False,3,1,2,71,1,1,1,0,1,0,False
19,91,False,6,59,True,5,False,True,4,1,1,70,2,0,1,1,2,0,False
15,93,False,6,64,True,2,False,True,4,2,0,71,2,1,1,1,2,1,False
15,67,True,7,86,True,1,True,False,3,2,0,66,1,1,2,2,1,1,False
15,96,False,7,54,False,3,False,True,2,0,0,67,1,1,2,1,2,-1,False
20,86,False,8,60,True,1,False,True,4,1,2,66,2,0,1,1,1,0,True
22,95,False,9,88,True,0,False,True,2,2,0,72,1,2,0,0,2,1,False
22,79,False,9,94,True,1,False,True,3,0,0,68,1,1,1,1,1,1,False
25,82,False,6,86,False,3,False,True,3,0,0,69,1,1,1,0,2,1,False
20,97,True,7,76,True,2,True,False,3,2,0,71,1,1,0,0,0,1,False
29,96,True,9,55,False,0,False,True,2,2,2,70,1,1,0,1,1,0,False
18,78,False,9,91,True,2,False,True,4,1,2,67,1,1,2,2,0,0,False
36,71,True,6,56,True,2,False,True,2,0,2,69,1,1,1,2,1,1,False
24,76,False,8,69,True,2,False,True,1,0,1,65,0,2,0,1,1,0,False
15,76,False,8,53,True,1,False,True,4,1,0,65,2,2,1,0,1,0,False
14,71,True,8,85,True,2,False,True,4,0,0,64,1,1,0,1,2,0,False
23,71,True,9,75,True,1,False,True,2,1,0,63,0,0,0,0,1,-1,False
19,94,True,5,95,True,3,False,True,2,0,1,69,0,1,1,0,0,1,False
24,63,True,6,57,True,1,True,False,5,1,0,64,1,0,1,0,2,0,False
23,87,True,8,91,True,0,True,False,3,0,1,72,2,2,2,2,1,1,False
20,67,True,7,76,True,0,False,True,4,0,0,63,0,1,1,1,1,0,False
15,74,True,4,68,True,3,False,True,3,0,0,64,0,2,0,0,1,1,False
11,62,True,5,82,True,3,True,False,4,1,1,64,1,2,1,2,1,0,False
17,71,True,8,90,True,5,False,True,1,2,2,67,1,1,1,1,1,1,False
25,91,False,8,72,True,2,False,True,0,2,0,71,1,1,0,1,2,1,False
21,95,False,5,62,True,1,False,True,4,0,0,70,1,1,2,1,0,1,False
13,69,True,9,96,True,0,True,False,4,0,2,61,1,0,0,2,1,0,False
21,79,True,7,66,True,2,False,True,4,1,1,67,1,2,0,0,1,-1,False
22,79,False,5,100,True,4,False,True,3,1,0,72,2,1,1,2,2,-1,False
15,95,True,6,88,True,1,False,True,5,0,0,66,0,0,0,0,1,-1,False
21,91,True,5,84,True,1,False,True,2,0,0,70,1,2,1,2,0,0,False
20,81,True,6,51,False,3,False,True,4,0,0,67,2,1,2,1,1,0,True
13,87,True,4,72,True,2,False,True,3,0,1,67,2,0,1,1,2,0,False
22,94,True,7,75,True,2,False,True,2,1,0,71,0,1,2,2,1,0,False
23,60,True,8,69,True,1,True,False,4,1,0,66,2,1,1,0,1,1,False
26,76,True,5,57,True,1,False,True,4,0,0,68,1,1,1,1,1,1,False
26,96,True,7,68,True,3,True,False,3,1,0,74,1,1,1,2,1,1,False
12,90,True,6,54,False,1,False,True,3,0,0,64,1,0,1,2,1,0,False
14,82,False,8,65,True,1,True,False,3,1,0,65,1,1,1,0,1,1,False
23,81,True,4,54,True,1,False,True,3,1,0,66,0,1,1,0,1,0,False
23,74,True,8,88,True,0,False,True,3,0,0,66,1,2,0,1,2,-1,True
23,81,False,4,84,True,2,False,True,5,0,0,68,1,0,1,1,1,1,False
43,86,True,7,97,True,2,False,True,1,0,0,78,2,1,1,1,2,1,False
23,77,True,6,69,True,1,True,False,2,0,1,67,1,2,0,1,1,1,False
27,89,True,6,89,True,3,True,False,3,0,0,74,1,2,1,1,1,1,False
26,94,False,5,79,True,1,False,True,2,2,0,74,1,2,2,0,2,1,False
24,66,False,9,82,True,1,False,True,2,0,0,62,1,0,0,1,1,0,True
18,78,True,5,77,False,2,False,True,4,0,2,66,2,1,1,1,1,0,False
25,76,True,5,89,True,3,False,True,3,0,2,69,1,1,2,1,2,0,False
15,87,True,10,52,True,2,True,False,3,1,0,68,1,2,1,0,2,1,False
19,70,False,7,54,True,0,False,True,2,0,1,89,1,0,2,1,1,1,True
17,86,False,5,55,False,2,True,False,4,1,0,66,2,0,0,2,1,0,False
20,95,True,7,64,False,2,False,True,3,0,0,68,0,1,0,1,2,0,False
34,77,True,7,80,True,0,False,True,3,0,0,69,1,0,0,1,1,1,False
9,96,True,4,82,False,0,False,True,4,1,0,67,1,1,2,0,1,1,False
24,100,True,6,86,True,2,True,False,5,0,0,75,2,2,0,1,1,1,False
10,64,False,7,64,True,0,False,True,4,0,1,60,1,2,2,1,1,1,True
17,69,True,9,83,True,2,True,False,4,1,1,66,2,1,1,1,2,1,True
27,98,True,7,56,True,1,True,False,3,1,0,73,0,2,0,2,1,1,False
20,98,False,7,50,True,1,True,False,2,0,0,68,1,0,0,1,2,0,False
14,64,True,6,85,True,0,False,True,3,0,0,62,1,1,1,1,1,0,False
16,61,False,9,86,True,2,False,True,2,0,0,62,1,1,0,0,2,1,False
24,66,True,8,81,True,1,False,True,4,0,2,65,2,0,2,1,1,0,False
16,100,True,8,63,True,2,False,True,3,0,1,69,2,0,2,0,1,-1,False
21,67,False,7,96,True,3,False,True,2,0,2,64,1,1,0,0,1,0,False
20,80,False,5,94,True,0,True,False,4,2,1,67,1,2,1,0,0,1,True
16,94,True,9,76,True,0,False,True,2,0,0,70,2,2,1,0,2,0,False
33,61,False,7,99,True,2,False,True,3,1,0,70,1,1,2,1,2,0,False
24,84,False,7,65,True,3,False,True,3,0,0,69,2,0,0,1,2,1,False
8,71,False,8,75,True,0,False,True,3,0,0,61,2,0,1,1,2,1,False
21,94,False,7,96,True,0,True,False,2,2,1,69,1,1,0,1,1,0,True
16,71,True,5,73,True,1,False,True,0,0,0,63,2,1,1,1,1,0,True
25,87,True,7,74,True,0,False,True,4,0,0,67,1,0,0,1,2,0,True
19,69,True,7,61,True,3,False,True,4,0,1,66,1,1,2,2,2,0,False
23,61,False,9,58,True,4,False,True,2,0,0,63,0,1,1,1,1,0,False
25,76,True,4,78,True,2,True,False,3,0,1,68,1,2,1,1,1,-1,False
13,72,False,7,66,True,0,False,True,4,2,0,65,2,2,1,0,2,0,False
18,92,True,8,54,True,1,False,True,3,0,0,67,0,1,1,1,1,1,False
17,92,True,8,75,True,2,False,True,3,2,0,68,0,0,1,1,2,0,False
16,78,False,6,83,True,0,False,True,3,1,0,64,1,2,1,0,0,0,True
31,84,False,5,87,True,0,True,False,3,1,1,71,1,1,2,1,1,1,False
22,84,True,6,92,True,0,False,True,5,0,0,69,1,1,0,1,1,0,False
12,93,True,9,74,True,1,False,True,3,2,1,67,1,1,0,1,1,0,False
26,77,False,4,70,True,2,False,True,3,1,1,65,0,1,0,2,0,0,True
33,71,False,5,84,True,1,False,True,2,0,0,68,0,1,1,1,1,1,False
26,71,True,6,51,False,1,True,False,3,2,1,67,2,1,0,2,1,1,False
11,81,True,6,82,True,3,False,True,4,0,0,67,1,1,2,1,2,0,False
17,78,True,7,70,False,2,False,True,3,0,0,66,1,2,1,0,2,1,False
28,78,False,9,73,True,2,False,True,4,1,1,70,2,1,2,1,1,0,False
16,64,True,5,65,True,3,True,False,4,2,1,65,2,0,1,1,2,1,False
23,89,True,7,56,True,4,True,False,4,2,0,69,0,0,0,1,0,1,False
25,69,True,7,70,False,1,False,True,4,0,2,65,1,1,0,2,2,1,False
14,68,False,6,65,True,1,False,True,3,1,0,63,2,1,1,2,1,0,True
20,77,False,5,98,True,2,True,False,2,2,2,67,1,1,0,0,2,0,False
1,69,True,6,97,True,1,False,True,3,0,0,61,2,1,1,0,1,1,False
14,83,True,6,82,True,0,False,True,2,0,0,65,1,0,1,1,1,1,False
18,75,True,8,95,True,1,False,True,2,1,0,66,0,2,1,0,0,0,False
13,78,True,8,88,True,0,False,True,3,1,0,66,1,2,2,2,0,0,False
30,81,True,5,67,True,1,False,True,1,0,0,69,1,0,1,2,2,-1,False
11,68,False,6,80,True,2,False,True,3,1,1,63,1,1,1,1,1,1,False
17,66,False,6,61,True,1,False,True,6,2,0,65,0,2,1,2,1,1,False
21,95,False,10,84,True,0,False,True,4,0,0,67,0,0,0,2,1,0,True
29,77,True,7,52,True,2,False,True,3,0,0,69,2,2,1,2,1,-1,True
11,76,True,5,92,True,4,False,True,2,2,0,65,0,1,1,1,0,-1,False
27,61,False,6,79,True,1,False,True,3,0,1,65,1,1,1,0,1,1,False
20,80,True,6,53,True,0,False,True,2,1,1,65,2,0,1,0,1,0,False
14,82,True,8,94,True,2,False,True,5,1,2,67,1,2,0,0,2,-1,False
21,88,False,7,93,True,4,False,True,3,0,0,72,1,2,1,0,1,1,False
16,67,False,7,89,True,3,False,True,3,1,0,66,1,2,2,0,1,1,False
20,70,True,7,84,False,2,True,False,4,1,2,65,1,1,0,1,2,0,False
18,92,True,7,70,True,1,False,True,3,0,1,69,2,1,1,0,1,0,False
21,98,False,4,57,True,2,False,True,2,0,0,68,1,0,1,2,0,0,False
24,65,False,7,64,True,1,False,True,1,2,0,64,1,0,0,2,1,0,False
30,80,False,6,67,True,3,False,True,4,1,1,69,0,2,1,1,1,-1,False
13,69,True,5,68,True,0,False,True,1,0,1,59,1,0,0,2,1,1,True
33,62,True,10,78,True,0,True,False,3,0,1,68,2,1,1,1,1,1,False
8,73,False,7,60,False,0,True,False,3,0,0,60,1,1,1,2,1,0,False
19,66,False,7,59,True,1,False,True,3,0,2,62,1,2,1,2,1,-1,False
24,88,True,6,86,True,0,False,True,3,1,0,67,0,1,0,0,0,-1,False
22,81,True,8,50,True,4,True,False,5,0,2,68,0,2,2,1,1,1,False
16,66,True,5,57,True,3,False,True,3,0,1,64,1,2,2,1,1,1,False
19,60,True,7,72,True,3,False,True,3,0,1,65,1,2,2,0,2,1,False
17,92,True,6,57,True,2,True,False,2,0,1,65,0,0,1,1,1,1,True
16,67,False,8,98,True,0,False,True,3,0,0,63,2,1,1,0,0,0,False
25,84,True,6,84,True,2,False,True,3,0,0,70,1,0,0,1,2,1,False
22,73,True,9,72,True,3,False,True,3,0,0,66,0,1,0,1,1,1,False
16,83,True,7,56,True,4,False,True,3,0,0,68,1,2,0,2,1,1,False
25,73,False,8,69,True,3,True,False,3,0,0,66,0,0,1,1,1,1,False
22,63,False,8,83,True,3,True,False,1,1,0,63,0,0,1,1,1,-1,False
25,69,True,9,98,True,1,False,True,3,1,1,66,2,1,1,0,1,-1,True
24,68,True,6,74,True,1,False,True,3,0,0,65,1,1,1,1,1,0,False
15,77,True,8,85,True,1,False,True,2,2,1,66,1,1,2,0,1,1,False
17,86,True,4,60,True,2,True,False,3,1,1,67,2,0,2,2,0,1,True
24,71,True,7,81,True,0,True,False,3,0,0,66,1,1,1,0,1,1,False
24,60,False,6,62,True,4,False,True,3,0,0,63,0,1,2,0,2,-1,False
20,81,True,5,60,True,3,False,True,4,0,0,66,1,1,0,1,1,1,True
21,84,False,6,75,False,1,False,True,3,1,1,67,1,1,0,2,1,1,False
28,99,True,6,61,False,1,False,True,3,0,0,71,1,1,1,0,1,1,False
16,84,True,7,86,True,1,True,False,2,0,0,67,1,2,1,0,1,0,False
23,79,True,6,97,True,1,False,True,4,0,1,69,1,2,1,2,0,0,False
19,83,True,7,70,True,2,False,True,4,2,0,67,1,1,1,0,1,-1,True
19,97,True,6,66,True,2,True,False,2,1,1,72,2,1,2,1,1,1,False
27,93,False,6,59,True,2,True,False,4,0,0,70,2,0,2,0,1,-1,False
25,73,True,7,70,True,0,True,False,4,2,1,67,1,2,0,0,1,0,False
25,69,True,7,78,True,0,False,True,3,0,2,64,0,2,1,0,2,-1,False
28,71,False,8,69,True,1,True,False,1,1,1,67,1,1,2,1,2,0,False
20,80,False,8,81,True,3,True,False,4,2,0,69,0,2,1,1,1,-1,False
18,80,False,8,55,True,2,False,True,3,0,1,63,1,1,0,0,0,0,False
22,63,True,7,85,True,4,False,True,3,1,0,68,1,2,1,2,2,-1,False
19,89,True,7,95,True,0,False,True,3,0,0,70,2,1,1,1,1,1,False
21,92,True,8,51,True,0,False,True,2,1,1,66,1,0,0,1,1,0,False
24,72,False,6,78,True,0,False,True,6,0,0,68,2,2,2,0,2,-1,False
15,87,True,4,80,True,0,True,False,3,1,0,67,2,0,2,0,1,1,False
33,77,True,5,85,True,0,True,False,5,0,2,69,0,2,1,0,1,0,False
14,96,True,9,69,True,0,True,False,3,1,0,66,1,0,2,1,1,-1,True
13,94,True,7,91,True,3,False,True,3,0,0,68,1,1,0,0,1,0,False
27,81,True,7,77,True,2,False,True,2,2,1,69,1,1,1,1,0,0,True
25,88,True,7,70,True,1,True,False,3,2,1,70,1,1,0,1,1,1,False
24,95,True,8,86,True,1,True,False,3,1,0,74,1,2,2,1,2,0,False
24,80,True,7,96,True,0,False,True,0,1,1,70,1,2,2,0,2,1,False
20,73,True,7,91,True,1,False,True,2,2,1,66,1,1,0,1,2,0,False
15,90,True,8,97,True,1,True,False,3,1,0,69,2,1,1,0,2,-1,False
20,69,False,6,63,True,0,False,True,3,2,0,64,1,2,0,0,1,-1,False
16,76,True,8,56,False,1,False,True,1,0,0,62,0,2,1,0,1,1,False
26,95,False,7,77,True,0,False,True,3,0,1,70,0,2,1,1,1,0,False
19,89,True,7,52,True,2,False,True,4,0,1,68,2,1,1,1,1,-1,False
15,76,True,6,84,True,0,False,True,3,1,0,65,1,1,0,1,2,0,False
18,69,False,7,62,True,3,False,True,3,0,1,65,2,2,0,1,1,1,False
22,74,True,6,73,True,3,False,True,4,2,1,71,2,2,0,2,2,1,False
17,71,True,9,83,True,2,False,True,5,0,0,66,2,1,0,1,1,0,False
15,67,False,4,74,True,0,False,True,3,1,1,61,1,1,1,0,1,-1,False
21,90,True,8,62,True,2,False,True,5,0,0,67,0,1,0,1,2,-1,True
