Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,bool_Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,bool_Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type_Private,School_Type_Public,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,numeric_Parental_Education_Level,Distance_from_Home,numeric_Distance_from_Home,Gender,Exam_Score,numeric_Parental_Involvement,numeric_Access_to_Resources,numeric_Motivation_Level,numeric_Family_Income,numeric_Teacher_Quality,numeric_Peer_Influence,numeric_Learning_Disabilities
29,78,Medium,Medium,No,False,5,99,High,Yes,True,0,High,Medium,False,True,Negative,1,No,High School,0,Moderate,1,Female,69,1,1,2,2,1,-1,False
19,99,Medium,High,No,False,6,84,Medium,Yes,True,1,Medium,High,False,True,Neutral,3,No,High School,0,Near,0,Male,72,1,2,1,1,2,0,False
20,74,Medium,High,No,False,8,89,Low,Yes,True,1,Medium,Medium,False,True,Negative,2,No,College,1,Moderate,1,Female,66,1,2,0,1,1,-1,False
11,78,High,Medium,Yes,True,8,100,High,Yes,True,1,Low,Medium,False,True,Neutral,3,No,High School,0,Moderate,1,Male,66,2,1,2,0,1,0,False
17,65,Low,High,Yes,True,5,75,Medium,Yes,True,2,Low,Medium,False,True,Positive,3,No,High School,0,Near,0,Female,63,0,2,1,0,1,1,False
21,62,High,Low,Yes,True,6,54,High,Yes,True,0,High,High,False,True,Positive,3,No,Postgraduate,2,Far,2,Male,64,2,0,2,2,2,1,False
13,91,Low,Medium,No,False,6,90,Medium,Yes,True,1,High,Medium,False,True,Negative,2,Yes,High School,0,Moderate,1,Female,65,0,1,1,2,1,-1,True
22,83,High,High,Yes,True,6,94,Medium,Yes,True,0,High,Medium,False,True,Neutral,2,No,College,1,Moderate,1,Male,71,2,2,1,2,1,0,False
16,90,Medium,Medium,No,False,4,58,Medium,Yes,True,1,Low,Medium,False,True,Neutral,3,No,High School,0,Moderate,1,Female,66,1,1,1,0,1,0,False
18,66,High,High,No,False,4,51,Low,Yes,True,2,Low,Medium,True,False,Neutral,2,No,College,1,Near,0,Male,64,2,2,0,0,1,0,False
16,83,Low,Medium,No,False,6,57,Medium,Yes,True,0,High,Low,False,True,Positive,4,Yes,High School,0,Near,0,Female,63,0,1,1,2,0,1,True
31,70,Medium,High,Yes,True,7,66,Medium,Yes,True,1,High,Medium,False,True,Negative,3,No,College,1,Near,0,Male,69,1,2,1,2,1,-1,False
20,69,Medium,Medium,Yes,True,8,96,Medium,Yes,True,2,Medium,High,False,True,Positive,3,No,High School,0,Near,0,Male,67,1,1,1,1,2,1,False
25,65,High,Medium,No,False,5,90,Medium,Yes,True,2,Medium,Medium,False,True,Positive,3,No,College,1,Moderate,1,Female,68,2,1,1,1,1,1,False
13,72,Low,Medium,No,False,6,93,Low,Yes,True,1,Low,Medium,False,True,Negative,3,No,High School,0,Near,0,Male,61,0,1,0,0,1,-1,False
21,65,Medium,Low,Yes,True,7,91,Low,Yes,True,2,Medium,High,False,True,Positive,3,No,High School,0,Far,2,Female,64,1,0,0,1,2,1,False
8,99,Medium,Medium,No,False,9,54,Low,Yes,True,2,Low,Medium,False,True,Neutral,5,No,Postgraduate,2,Near,0,Female,67,1,1,0,0,1,0,False
12,72,Low,Medium,Yes,True,8,84,Medium,Yes,True,1,Low,Medium,False,True,Positive,5,No,High School,0,Near,0,Female,63,0,1,1,0,1,1,False
21,65,Low,Medium,Yes,True,6,98,Low,Yes,True,1,Medium,High,False,True,Negative,4,No,High School,0,Near,0,Male,64,0,1,0,1,2,-1,False
24,68,High,Medium,No,False,8,56,Low,Yes,True,3,High,High,False,True,Neutral,1,No,College,1,Near,0,Male,67,2,1,0,2,2,0,False
21,84,Medium,Medium,Yes,True,6,52,Low,Yes,True,1,Medium,High,False,True,Neutral,2,Yes,College,1,Far,2,Female,65,1,1,0,1,2,0,True
19,63,Low,High,No,False,7,94,Medium,Yes,True,1,Medium,Medium,True,False,Positive,3,No,High School,0,Moderate,1,Male,64,0,2,1,1,1,1,False
18,94,Medium,High,Yes,True,7,82,Medium,Yes,True,3,Medium,Medium,True,False,Negative,2,Yes,College,1,Near,0,Male,70,1,2,1,1,1,-1,True
11,98,Medium,Medium,Yes,True,9,82,Low,Yes,True,1,Medium,Medium,True,False,Positive,3,No,Postgraduate,2,Far,2,Male,68,1,1,0,1,1,1,False
16,70,Medium,Medium,Yes,True,8,98,Medium,Yes,True,2,Medium,Medium,False,True,Positive,3,No,High School,0,Moderate,1,Male,65,1,1,1,1,1,1,False
17,78,Medium,Medium,Yes,True,6,88,Medium,Yes,True,1,Medium,High,True,False,Positive,3,No,College,1,Near,0,Female,68,1,1,1,1,2,1,False
26,61,Medium,Low,Yes,True,6,70,Medium,Yes,True,2,Low,Medium,False,True,Positive,3,No,High School,0,Moderate,1,Female,64,1,0,1,0,1,1,False
22,86,Low,Medium,Yes,True,7,72,Low,Yes,True,3,Low,High,False,True,Positive,2,No,High School,0,Moderate,1,Male,68,0,1,0,0,2,1,False
9,77,Medium,Medium,No,False,5,57,Medium,Yes,True,2,Medium,High,False,True,Neutral,3,No,High School,0,Near,0,Male,63,1,1,1,1,2,0,False
22,71,Low,Medium,Yes,True,7,65,Low,Yes,True,1,Medium,Low,False,True,Positive,4,No,College,1,Moderate,1,Male,64,0,1,0,1,0,1,False
18,68,High,Medium,No,False,7,72,Medium,Yes,True,0,Medium,Medium,False,True,Neutral,3,No,College,1,Near,0,Male,64,2,1,1,1,1,0,False
16,86,Low,Medium,Yes,True,8,63,Medium,Yes,True,2,Medium,Medium,False,True,Positive,4,No,High School,0,Near,0,Male,67,0,1,1,1,1,1,False
24,77,High,Low,No,False,8,96,Medium,Yes,True,0,Medium,Medium,False,True,Neutral,3,No,High School,0,Near,0,Female,67,2,0,1,1,1,0,False
26,67,Medium,High,Yes,True,7,51,Low,Yes,True,2,High,High,True,False,Neutral,4,Yes,Postgraduate,2,Far,2,Female,66,1,2,0,2,2,0,True
26,88,Medium,High,Yes,True,5,79,Medium,Yes,True,1,Low,High,True,False,Positive,4,No,College,1,Moderate,1,Male,72,1,2,1,0,2,1,False
15,83,Medium,High,No,False,5,89,Low,No,False,1,Medium,High,False,True,Neutral,2,Yes,High School,0,Near,0,Female,65,1,2,0,1,2,0,True
18,94,Medium,Medium,Yes,True,6,87,High,Yes,True,1,Medium,Medium,False,True,Positive,4,No,High School,0,Near,0,Male,71,1,1,2,1,1,1,False
22,65,High,Low,No,False,8,82,Medium,Yes,True,2,Medium,High,False,True,Positive,1,No,Postgraduate,2,Near,0,Female,66,2,0,1,1,2,1,False
26,91,Medium,Low,Yes,True,8,71,Medium,Yes,True,0,Low,Medium,True,False,Neutral,3,No,High School,0,Moderate,1,Male,68,1,0,1,0,1,0,False
17,87,Medium,Medium,No,False,7,96,Medium,Yes,True,1,High,Medium,False,True,Negative,5,No,Postgraduate,2,Near,0,Female,70,1,1,1,2,1,-1,False
19,65,Medium,Medium,Yes,True,10,66,Low,Yes,True,0,Low,Medium,False,True,Positive,3,No,High School,0,Moderate,1,Male,62,1,1,0,0,1,1,False
13,88,Low,High,Yes,True,9,88,High,Yes,True,2,Low,High,True,False,Negative,4,No,Postgraduate,2,Far,2,Male,68,0,2,2,0,2,-1,False
13,78,Medium,High,Yes,True,9,96,High,Yes,True,2,Low,Medium,False,True,Neutral,3,No,College,1,Moderate,1,Male,67,1,2,2,0,1,0,False
25,98,Low,High,Yes,True,8,56,Medium,No,False,0,Medium,High,True,False,Neutral,3,No,Postgraduate,2,Near,0,Male,71,0,2,1,1,2,0,False
28,66,Medium,High,Yes,True,8,97,Medium,Yes,True,0,Medium,Medium,False,True,Neutral,2,No,High School,0,Near,0,Male,68,1,2,1,1,1,0,False
20,86,Medium,Medium,Yes,True,8,89,Medium,Yes,True,1,Low,Medium,False,True,Negative,3,No,Postgraduate,2,Near,0,Male,69,1,1,1,0,1,-1,False
26,75,Low,High,Yes,True,4,81,High,Yes,True,3,Medium,High,True,False,Positive,2,No,High School,0,Moderate,1,Male,70,0,2,2,1,2,1,False
22,98,Medium,High,No,False,5,69,Low,No,False,1,Low,High,False,True,Negative,4,No,High School,0,Moderate,1,Female,69,1,2,0,0,2,-1,False
16,73,Medium,Medium,No,False,7,95,Medium,Yes,True,1,Low,Medium,False,True,Negative,4,No,College,1,Near,0,Male,65,1,1,1,0,1,-1,False
22,98,Medium,Low,Yes,True,7,52,Medium,No,False,3,Medium,Medium,False,True,Positive,3,No,College,1,Near,0,Female,70,1,0,1,1,1,1,False
29,96,Medium,Low,Yes,True,7,72,Medium,Yes,True,1,Low,Medium,False,True,Positive,3,No,High School,0,Moderate,1,Male,71,1,0,1,0,1,1,False
20,71,Medium,Medium,Yes,True,7,88,Medium,Yes,True,1,Low,Low,False,True,Neutral,4,No,College,1,Near,0,Female,65,1,1,1,0,0,0,False
29,92,Low,Medium,No,False,4,91,Medium,Yes,True,2,Medium,Medium,False,True,Negative,1,No,Postgraduate,2,Near,0,Female,72,0,1,1,1,1,-1,False
4,100,High,High,Yes,True,8,60,High,Yes,True,0,Medium,High,True,False,Positive,4,No,College,1,Moderate,1,Male,69,2,2,2,1,2,1,False
25,70,Medium,Medium,No,False,7,52,Medium,Yes,True,1,Medium,Medium,False,True,Positive,3,No,Postgraduate,2,Near,0,Female,66,1,1,1,1,1,1,False
21,77,Low,Medium,Yes,True,7,90,Medium,Yes,True,4,Medium,Medium,True,False,Neutral,3,No,Postgraduate,2,Moderate,1,Male,68,0,1,1,1,1,0,False
18,81,High,Low,Yes,True,8,71,Medium,Yes,True,0,Medium,Medium,False,True,Neutral,3,No,High School,0,Moderate,1,Female,65,2,0,1,1,1,0,False
21,72,Medium,Medium,Yes,True,5,57,Medium,Yes,True,1,High,Medium,False,True,Neutral,5,Yes,College,1,Moderate,1,Male,64,1,1,1,2,1,0,True
8,61,Medium,Medium,Yes,True,7,54,Medium,Yes,True,1,High,Medium,False,True,Positive,3,No,College,1,Near,0,Male,60,1,1,1,2,1,1,False
19,69,Medium,High,Yes,True,7,82,High,Yes,True,1,Low,Medium,False,True,Negative,2,No,High School,0,Near,0,Male,65,1,2,2,0,1,-1,False
22,71,High,Medium,No,False,6,79,High,Yes,True,1,Low,Low,False,True,Positive,3,No,High School,0,Near,0,Male,66,2,1,2,0,0,1,False
29,78,High,High,Yes,True,4,93,Low,Yes,True,5,Medium,High,False,True,Neutral,3,No,College,1,Near,0,Male,74,2,2,0,1,2,0,False
17,67,Medium,Medium,Yes,True,5,52,High,Yes,True,2,Medium,Medium,True,False,Negative,3,No,High School,0,Far,2,Female,62,1,1,2,1,1,-1,False
15,95,Medium,Medium,No,False,7,93,Medium,Yes,True,2,Low,Medium,False,True,Positive,4,No,College,1,Moderate,1,Male,70,1,1,1,0,1,1,False
17,88,Medium,High,Yes,True,7,94,Low,Yes,True,0,Medium,Medium,False,True,Neutral,3,No,High School,0,Near,0,Male,69,1,2,0,1,1,0,False
25,63,Medium,High,Yes,True,7,72,Medium,Yes,True,3,Medium,High,True,False,Negative,4,No,College,1,Far,2,Male,67,1,2,1,1,2,-1,False
22,86,Low,Low,No,False,6,54,Medium,Yes,True,2,Medium,Medium,False,True,Neutral,0,No,High School,0,Moderate,1,Male,64,0,0,1,1,1,0,False
17,86,Medium,High,No,False,5,97,High,Yes,True,3,High,Medium,False,True,Neutral,3,No,College,1,Near,0,Male,71,1,2,2,2,1,0,False
23,98,Medium,Low,Yes,True,7,54,Low,Yes,True,0,Medium,Medium,False,True,Negative,3,No,College,1,Near,0,Female,68,1,0,0,1,1,-1,False
21,60,High,Medium,No,False,7,80,Medium,Yes,True,0,Medium,High,False,True,Neutral,4,Yes,College,1,Near,0,Male,64,2,1,1,1,2,0,True
26,70,Medium,Low,Yes,True,8,75,Medium,Yes,True,1,Medium,Low,True,False,Neutral,4,Yes,High School,0,Far,2,Female,63,1,0,1,1,0,0,True
16,97,Medium,Medium,Yes,True,6,92,Low,Yes,True,0,High,Medium,True,False,Positive,4,No,College,1,Near,0,Male,71,1,1,0,2,1,1,False
18,97,High,Medium,Yes,True,4,75,Low,Yes,True,0,Low,Medium,False,True,Positive,3,No,High School,0,Moderate,1,Male,69,2,1,0,0,1,1,False
18,89,High,Medium,Yes,True,4,73,Medium,Yes,True,3,High,Medium,True,False,Positive,2,No,College,1,Near,0,Female,100,2,1,1,2,1,1,False
11,91,Medium,Medium,No,False,6,94,Medium,Yes,True,3,Medium,Medium,False,True,Neutral,3,No,College,1,Moderate,1,Male,68,1,1,1,1,1,0,False
22,64,Low,Medium,No,False,7,98,Low,No,False,1,Medium,Medium,False,True,Negative,3,No,High School,0,Near,0,Male,62,0,1,0,1,1,-1,False
22,81,Medium,Medium,Yes,True,7,77,Low,Yes,True,2,Medium,Medium,False,True,Positive,3,No,Postgraduate,2,Far,2,Female,68,1,1,0,1,1,1,False
20,69,High,High,Yes,True,6,73,Medium,Yes,True,2,Low,Medium,True,False,Positive,3,No,High School,0,Far,2,Male,66,2,2,1,0,1,1,False
19,67,Low,Medium,No,False,5,92,High,Yes,True,0,Medium,Medium,False,True,Positive,3,No,College,1,Near,0,Male,64,0,1,2,1,1,1,False
12,92,Medium,Medium,No,False,4,92,High,Yes,True,2,Medium,High,False,True,Neutral,3,Yes,High School,0,Moderate,1,Male,67,1,1,2,1,2,0,True
17,65,Medium,High,Yes,True,8,66,Medium,Yes,True,1,High,High,False,True,Neutral,4,Yes,Postgraduate,2,Moderate,1,Female,65,1,2,1,2,2,0,True
18,79,Medium,Medium,Yes,True,7,79,Medium,Yes,True,0,Low,High,True,False,Neutral,3,No,College,1,Far,2,Male,65,1,1,1,0,2,0,False
15,98,High,Medium,No,False,6,58,High,Yes,True,0,Low,High,False,True,Positive,3,No,College,1,Near,0,Male,69,2,1,2,0,2,1,False
19,67,Medium,Medium,No,False,5,82,High,Yes,True,1,Low,Low,True,False,Negative,3,No,High School,0,Near,0,Male,63,1,1,2,0,0,-1,False
22,99,Medium,Low,Yes,True,6,92,Low,Yes,True,3,Medium,Medium,False,True,Negative,4,No,Postgraduate,2,Moderate,1,Male,72,1,0,0,1,1,-1,False
31,100,Medium,Medium,No,False,7,59,Medium,Yes,True,2,High,High,False,True,Positive,5,No,Postgraduate,2,Moderate,1,Male,76,1,1,1,2,2,1,False
21,82,Medium,High,Yes,True,7,66,High,Yes,True,3,Low,Medium,False,True,Positive,3,Yes,College,1,Near,0,Female,69,1,2,2,0,1,1,True
22,67,Medium,Medium,Yes,True,7,72,High,Yes,True,3,Low,High,False,True,Positive,2,No,Postgraduate,2,Moderate,1,Female,67,1,1,2,0,2,1,False
20,73,High,Medium,Yes,True,9,92,Medium,Yes,True,2,Medium,High,False,True,Positive,3,No,College,1,Near,0,Male,69,2,1,1,1,2,1,False
8,77,High,Medium,Yes,True,6,87,Medium,Yes,True,0,Low,Medium,False,True,Neutral,2,No,High School,0,Moderate,1,Male,63,2,1,1,0,1,0,False
20,72,Medium,Medium,No,False,9,66,Medium,Yes,True,3,Low,High,True,False,Positive,3,No,Postgraduate,2,Near,0,Male,67,1,1,1,0,2,1,False
20,71,Low,High,Yes,True,7,62,High,Yes,True,2,Medium,Medium,False,True,Negative,5,No,College,1,Near,0,Male,66,0,2,2,1,1,-1,False
35,99,High,High,Yes,True,7,85,Low,Yes,True,2,Medium,High,True,False,Neutral,2,No,Postgraduate,2,Near,0,Female,79,2,2,0,1,2,0,False
19,66,Medium,Medium,No,False,8,74,Medium,Yes,True,1,High,Medium,False,True,Neutral,3,No,High School,0,Near,0,Female,64,1,1,1,2,1,0,False
22,89,High,High,Yes,True,6,80,Medium,Yes,True,1,High,High,False,True,Positive,3,No,High School,0,Near,0,Female,73,2,2,1,2,2,1,False
20,60,Low,High,No,False,7,82,High,Yes,True,2,Low,High,False,True,Positive,4,Yes,High School,0,Near,0,Male,63,0,2,2,0,2,1,True
13,84,Medium,Medium,No,False,5,78,Medium,Yes,True,1,Low,High,False,True,Positive,2,No,High School,0,Near,0,Male,65,1,1,1,0,2,1,False
27,97,Low,High,Yes,True,8,81,Medium,Yes,True,0,High,Medium,False,True,Positive,5,No,High School,0,Near,0,Female,73,0,2,1,2,1,1,False
25,72,High,High,Yes,True,8,94,Low,Yes,True,2,Low,Medium,True,False,Positive,4,No,College,1,Moderate,1,Female,70,2,2,0,0,1,1,False
25,67,High,Medium,No,False,9,93,High,Yes,True,2,Low,High,False,True,Positive,3,Yes,High School,0,Near,0,Female,68,2,1,2,0,2,1,True
15,86,Medium,Medium,Yes,True,7,57,Medium,Yes,True,1,Medium,Medium,False,True,Negative,3,No,College,1,Near,0,Male,65,1,1,1,1,1,-1,False
28,89,Low,High,Yes,True,9,79,High,Yes,True,0,Low,Medium,True,False,Positive,1,No,College,1,Moderate,1,Female,71,0,2,2,0,1,1,False
12,88,Low,Medium,No,False,6,72,Low,Yes,True,2,Medium,Medium,False,True,Positive,2,No,College,1,Far,2,Male,64,0,1,0,1,1,1,False
24,73,Medium,High,Yes,True,8,64,Medium,Yes,True,4,High,Medium,True,False,Neutral,3,Yes,College,1,Moderate,1,Male,68,1,2,1,2,1,0,True
33,70,Medium,Medium,Yes,True,6,82,Low,Yes,True,1,Low,High,False,True,Neutral,4,No,College,1,Near,0,Male,69,1,1,0,0,2,0,False
14,98,Medium,Medium,No,False,7,76,Medium,Yes,True,0,Medium,High,True,False,Positive,4,No,College,1,Moderate,1,Female,69,1,1,1,1,2,1,False
21,78,Medium,Medium,Yes,True,10,55,Medium,Yes,True,1,High,Low,True,False,Positive,2,No,College,1,Near,0,Male,67,1,1,1,2,0,1,False
17,94,Low,Medium,Yes,True,8,65,Low,Yes,True,4,Medium,Medium,False,True,Neutral,6,No,High School,0,Far,2,Female,68,0,1,0,1,1,0,False
11,78,Medium,High,Yes,True,8,51,Medium,Yes,True,2,Low,Medium,False,True,Neutral,3,No,Postgraduate,2,Near,0,Male,64,1,2,1,0,1,0,False
20,77,Medium,Medium,No,False,6,87,Low,Yes,True,0,Low,High,False,True,Positive,4,No,High School,0,Near,0,Female,66,1,1,0,0,2,1,False
14,66,High,Low,No,False,7,96,Medium,Yes,True,3,Low,High,False,True,Negative,3,No,High School,0,Near,0,Male,63,2,0,1,0,2,-1,False
23,77,Medium,Medium,Yes,True,7,79,Medium,Yes,True,0,Low,High,False,True,Neutral,2,No,High School,0,Moderate,1,Male,66,1,1,1,0,2,0,False
14,81,Medium,Medium,No,False,9,81,Medium,Yes,True,1,Low,High,True,False,Negative,3,No,Postgraduate,2,Near,0,Female,66,1,1,1,0,2,-1,False
29,61,Medium,High,Yes,True,7,52,Low,Yes,True,3,Low,Medium,True,False,Positive,3,No,College,1,Near,0,Female,67,1,2,0,0,1,1,False
15,78,High,High,No,False,9,75,Low,Yes,True,1,Low,Medium,False,True,Negative,1,No,High School,0,Near,0,Male,65,2,2,0,0,1,-1,False
18,91,Low,Medium,Yes,True,5,76,Medium,Yes,True,1,Medium,Medium,False,True,Neutral,3,No,High School,0,Near,0,Female,68,0,1,1,1,1,0,False
25,87,Medium,Low,No,False,9,52,High,Yes,True,1,Low,High,True,False,Positive,2,No,High School,0,Near,0,Male,68,1,0,2,0,2,1,False
13,85,High,Medium,No,False,6,89,Medium,Yes,True,0,High,Medium,True,False,Neutral,1,Yes,High School,0,Near,0,Male,65,2,1,1,2,1,0,True
21,96,Medium,Medium,No,False,8,64,High,Yes,True,2,Medium,High,False,True,Neutral,0,No,College,1,Near,0,Male,71,1,1,2,1,2,0,False
28,61,Medium,High,No,False,6,86,High,Yes,True,1,Low,Medium,True,False,Negative,3,Yes,Postgraduate,2,Far,2,Male,65,1,2,2,0,1,-1,True
10,82,Medium,Low,No,False,8,70,Medium,Yes,True,3,Low,High,False,True,Positive,1,Yes,Postgraduate,2,Near,0,Female,64,1,0,1,0,2,1,True
21,91,High,Medium,No,False,6,100,Medium,Yes,True,0,High,Medium,True,False,Neutral,2,No,Postgraduate,2,Near,0,Female,72,2,1,1,2,1,0,False
22,82,Medium,Medium,No,False,9,61,Medium,Yes,True,2,Low,Medium,False,True,Negative,2,Yes,High School,0,Near,0,Female,65,1,1,1,0,1,-1,True
25,73,Medium,High,No,False,8,53,High,No,False,0,Low,High,True,False,Negative,5,No,Postgraduate,2,Near,0,Female,66,1,2,2,0,2,-1,False
13,65,Low,High,No,False,6,99,Medium,Yes,True,0,Low,Medium,True,False,Negative,4,No,High School,0,Near,0,Male,61,0,2,1,0,1,-1,False
12,96,Low,High,Yes,True,8,62,Medium,Yes,True,2,Medium,High,False,True,Negative,3,No,College,1,Near,0,Female,68,0,2,1,1,2,-1,False
23,79,High,High,Yes,True,8,82,Low,Yes,True,3,Medium,Medium,False,True,Negative,3,Yes,Postgraduate,2,Moderate,1,Female,69,2,2,0,1,1,-1,True
22,95,Medium,High,Yes,True,6,69,Medium,Yes,True,1,Low,Medium,False,True,Positive,3,No,College,1,Near,0,Female,72,1,2,1,0,1,1,False
22,83,Medium,High,Yes,True,5,82,Medium,Yes,True,2,Low,High,False,True,Positive,3,No,Postgraduate,2,Near,0,Female,71,1,2,1,0,2,1,False
22,87,High,High,No,False,5,80,Low,Yes,True,2,Low,High,False,True,Negative,3,No,High School,0,Near,0,Female,70,2,2,0,0,2,-1,False
16,92,Medium,High,Yes,True,5,85,Low,Yes,True,1,Low,Medium,False,True,Neutral,2,No,High School,0,Moderate,1,Male,68,1,2,0,0,1,0,False
21,86,Low,Medium,Yes,True,5,51,Medium,Yes,True,2,Low,High,False,True,Positive,2,No,High School,0,Moderate,1,Female,67,0,1,1,0,2,1,False
22,76,Medium,Medium,Yes,True,8,92,Medium,Yes,True,1,Low,High,False,True,Neutral,4,No,High School,0,Near,0,Female,68,1,1,1,0,2,0,False
16,81,Medium,Medium,Yes,True,8,74,Medium,Yes,True,3,Medium,Medium,False,True,Positive,2,No,Postgraduate,2,Near,0,Female,68,1,1,1,1,1,1,False
31,92,Medium,Medium,Yes,True,4,76,Medium,Yes,True,2,Medium,High,False,True,Positive,4,Yes,High School,0,Far,2,Male,72,1,1,1,1,2,1,True
23,75,Low,High,No,False,6,71,Low,Yes,True,0,Medium,Medium,False,True,Neutral,2,No,College,1,Near,0,Male,65,0,2,0,1,1,0,False
13,76,Medium,High,No,False,5,99,Low,Yes,True,2,Medium,Medium,True,False,Positive,4,No,High School,0,Near,0,Female,66,1,2,0,1,1,1,False
24,64,Medium,Medium,Yes,True,8,90,High,Yes,True,0,Low,High,False,True,Negative,3,No,High School,0,Near,0,Male,65,1,1,2,0,2,-1,False
14,97,Medium,Medium,Yes,True,6,66,Medium,Yes,True,2,Medium,Medium,False,True,Negative,3,Yes,College,1,Near,0,Female,67,1,1,1,1,1,-1,True
25,64,Medium,High,No,False,5,89,Low,Yes,True,2,Medium,Medium,False,True,Neutral,4,No,College,1,Far,2,Male,66,1,2,0,1,1,0,False
27,86,Medium,Medium,No,False,7,72,Low,Yes,True,1,Medium,High,False,True,Positive,4,No,High School,0,Far,2,Male,69,1,1,0,1,2,1,False
15,77,Medium,Medium,Yes,True,8,94,Low,Yes,True,0,High,High,False,True,Positive,3,No,College,1,Moderate,1,Male,66,1,1,0,2,2,1,False
26,76,Medium,High,Yes,True,6,52,Medium,Yes,True,4,High,Low,False,True,Neutral,3,No,High School,0,Near,0,Male,69,1,2,1,2,0,0,False
22,87,High,Low,Yes,True,7,68,Medium,No,False,0,Low,Medium,False,True,Neutral,2,No,High School,0,Near,0,Male,67,2,0,1,0,1,0,False
25,63,High,Medium,Yes,True,6,71,Medium,Yes,True,1,Medium,Low,True,False,Positive,3,No,High School,0,Near,0,Male,66,2,1,1,1,0,1,False
31,84,Medium,Medium,Yes,True,9,87,Medium,Yes,True,2,Low,Medium,True,False,Neutral,3,No,College,1,Far,2,Male,71,1,1,1,0,1,0,False
